ENCFF013JYW	bam	bam		alignments	GRCh38	ENCSR161FEJ	Histone ChIP-seq	UBERON:0002106	spleen	tissue	Homo sapiens										H3K27me3-human	DNA						2016-11-03	ENCODE				2	2_1, 2_2		76					/files/ENCFF844BIJ/, /files/ENCFF643CGH/, /files/ENCFF022HQC/, /files/ENCFF409SOZ/, /files/ENCFF613FYX/, /files/ENCFF495EMV/, /files/ENCFF481QPQ/, /files/ENCFF824UFC/, /files/ENCFF388WXK/	2617686575	ENCODE Processing Pipeline	c1555248ef22552ce6415ac2681e46a7		https://www.encodeproject.org/files/ENCFF013JYW/@@download/ENCFF013JYW.bam				released	s3://encode-public/2019/09/03/454da691-3c7b-47b2-86da-e762b9ea0821/ENCFF013JYW.bam	inconsistent platforms		
ENCFF018WWY	bam	bam		alignments	GRCh38	ENCSR652QNW	Histone ChIP-seq	CL:0000746	cardiac muscle cell	in vitro differentiated cells	Homo sapiens										H3K4me3-human	DNA						2016-11-03	ENCODE				1	1_1		76					/files/ENCFF055SGG/, /files/ENCFF989CNP/, /files/ENCFF643CGH/, /files/ENCFF712AIJ/, /files/ENCFF430BVZ/	2752379076	ENCODE Processing Pipeline	1f89da79ee9405b3b75c89990c19c055		https://www.encodeproject.org/files/ENCFF018WWY/@@download/ENCFF018WWY.bam				released	s3://encode-public/2016/10/31/8763dd27-e8a7-4cf4-a806-231f8dae9002/ENCFF018WWY.bam	mild to moderate bottlenecking		
ENCFF044JCY	bam	bam		alignments	GRCh38	ENCSR589TCU	Histone ChIP-seq	UBERON:0002106	spleen	tissue	Homo sapiens										H3K36me3-human	DNA						2016-11-03	ENCODE				1	1_1, 1_2		76					/files/ENCFF643CGH/, /files/ENCFF367XWW/, /files/ENCFF264EKM/, /files/ENCFF450YXD/, /files/ENCFF924XII/, /files/ENCFF935HOQ/, /files/ENCFF035TWK/	3609890335	ENCODE Processing Pipeline	73480cde24d054bc1ef37dba7b4611ba		https://www.encodeproject.org/files/ENCFF044JCY/@@download/ENCFF044JCY.bam				released	s3://encode-public/2019/08/30/4464fdc2-1bec-43e7-a33b-5fd9fb921cff/ENCFF044JCY.bam	inconsistent platforms		
ENCFF052LQE	bam	bam		alignments	GRCh38	ENCSR000ANA	Histone ChIP-seq	EFO:0003042	H1	cell line	Homo sapiens										H3K4me1-human	DNA						2011-02-10	ENCODE				2	2_2		36					/files/ENCFF643CGH/, /files/ENCFF000AXM/	721192710	ENCODE Processing Pipeline	eb96cd017154897eb880297ddc3899a0		https://www.encodeproject.org/files/ENCFF052LQE/@@download/ENCFF052LQE.bam				released	s3://encode-public/2016/11/13/533dc2d9-9205-4e8a-99d7-55ff078eafe4/ENCFF052LQE.bam	low read length, inconsistent platforms	insufficient read depth	
ENCFF059ZLL	bam	bam		alignments	GRCh38	ENCSR573CWZ	Histone ChIP-seq	CL:0011020	neural progenitor cell	in vitro differentiated cells	Homo sapiens										H3K36me3-human	DNA						2016-11-14	ENCODE				2	2_1		76					/files/ENCFF606KSK/, /files/ENCFF583RXS/, /files/ENCFF643CGH/, /files/ENCFF693MAI/	3993673886	ENCODE Processing Pipeline	48d2af8c1d3bb0cf9b7ef600e68c3a35		https://www.encodeproject.org/files/ENCFF059ZLL/@@download/ENCFF059ZLL.bam				released	s3://encode-public/2016/11/11/d686b3df-2645-49e2-b695-ce5bf0c3b61e/ENCFF059ZLL.bam			
ENCFF083APJ	bam	bam		alignments	GRCh38	ENCSR864LRY	Histone ChIP-seq	CL:0000746	cardiac muscle cell	in vitro differentiated cells	Homo sapiens										H3K27me3-human	DNA						2016-11-03	ENCODE				1	1_1		76					/files/ENCFF667KFU/, /files/ENCFF562HAT/, /files/ENCFF138BHG/, /files/ENCFF643CGH/, /files/ENCFF773MOC/	3118557949	ENCODE Processing Pipeline	f6aeae4a196da717bb5b64e1dbe83111		https://www.encodeproject.org/files/ENCFF083APJ/@@download/ENCFF083APJ.bam				released	s3://encode-public/2016/10/31/3f7f86d0-6b0b-463f-9805-c2ffebb6f9e8/ENCFF083APJ.bam	control low read depth		
ENCFF167PTR	bam	bam		alignments	GRCh38	ENCSR714KGG	Histone ChIP-seq	CL:0002319	neural cell	in vitro differentiated cells	Homo sapiens										H3K36me3-human	DNA						2014-07-11	ENCODE				2	2_1		36					/files/ENCFF002AZB/, /files/ENCFF643CGH/	1098257213	ENCODE Processing Pipeline	3a9b0838617385b54fee3fced9c99810		https://www.encodeproject.org/files/ENCFF167PTR/@@download/ENCFF167PTR.bam				released	s3://encode-public/2016/10/19/3bf247aa-c232-48f2-bb66-d36358b52677/ENCFF167PTR.bam	antibody characterized with exemption, mild to moderate bottlenecking, low read length, moderate library complexity	insufficient read depth	
ENCFF171RVK	bam	bam		alignments	GRCh38	ENCSR000ALU	Histone ChIP-seq	EFO:0003042	H1	cell line	Homo sapiens										H3K27me3-human	DNA						2011-02-10	ENCODE				2	2_2		36					/files/ENCFF000AWY/, /files/ENCFF643CGH/	432941312	ENCODE Processing Pipeline	4fefcdd04b47bd09cb37dcb8451337f4		https://www.encodeproject.org/files/ENCFF171RVK/@@download/ENCFF171RVK.bam				released	s3://encode-public/2016/11/13/75f8342d-9c1f-4fb5-9715-3722b5c18cfc/ENCFF171RVK.bam	low read length, inconsistent platforms	insufficient read depth	extremely low read depth
ENCFF185JFT	bam	bam		alignments	GRCh38	ENCSR000DWV	Histone ChIP-seq	CL:0000312	keratinocyte	primary cell	Homo sapiens										H3K4me3-human	DNA						2011-02-11	ENCODE				1	1_1		36					/files/ENCFF643CGH/, /files/ENCFF001GAN/	390237845	ENCODE Processing Pipeline	2f865cd7eb10ccd3852d7130e2a3de3b		https://www.encodeproject.org/files/ENCFF185JFT/@@download/ENCFF185JFT.bam				released	s3://encode-public/2016/08/10/1a6398ee-e064-4239-ac90-e24e057f5a35/ENCFF185JFT.bam	mild to moderate bottlenecking, low read length, control low read depth	insufficient read depth	
ENCFF189PYS	bam	bam		alignments	GRCh38	ENCSR608VNA	Histone ChIP-seq	CL:0002319	neural cell	in vitro differentiated cells	Homo sapiens										H3K4me3-human	DNA						2014-07-11	ENCODE				1	1_1, 1_2		36					/files/ENCFF002BBT/, /files/ENCFF643CGH/, /files/ENCFF002AYB/	2957190005	ENCODE Processing Pipeline	9728b6327ffa3b59287507f60b11b36b		https://www.encodeproject.org/files/ENCFF189PYS/@@download/ENCFF189PYS.bam				released	s3://encode-public/2016/10/19/79e036dd-74f2-4e91-9142-2f9443dd7848/ENCFF189PYS.bam	mild to moderate bottlenecking, low read length, moderate library complexity		
